Total_outages,Day_length_hr,Avg_Temp_F,Avg_humidity_percent,Max_windspeed_mph,Avg_windspeed_mph,Max_windgust_mph,Precipitation_in
0,14.283333,47,91,9,5,9,0.35
0,14.333333,50,68,12,6,9,0
0,14.383333,53,58,14,6,9,0
0,14.433333,54,64,10,5,9,0
0,14.483333,48,83,13,8,34,0
0,14.533333,48,85,22,12,22,0.03
0,14.583333,47,66,16,10,28,0
0,14.633333,46,68,16,13,31,0
1,14.683333,46,76,23,13,29,0
2,14.733333,42,79,15,9,9,0.09
0,14.783333,44,78,9,4,9,0
0,14.833333,47,65,12,7,9,0
1,14.866667,49,70,10,6,9,0
3,14.916667,51,70,10,4,9,0
0,14.966667,54,57,13,8,9,0
2,15.016667,62,55,13,7,9,0
0,15.05,52,85,15,10,21,0.11
0,15.1,50,73,16,12,9,0
0,15.133333,50,61,10,8,9,0
0,15.183333,54,61,13,7,9,0.08
1,15.216667,52,77,12,7,9,0.12
1,15.266667,56,69,9,6,9,0.01
1,15.3,52,83,12,7,9,0.04
2,15.333333,55,81,15,7,9,0.17
0,15.383333,54,82,14,5,9,0.06
0,15.416667,54,77,13,9,9,0.08
2,15.45,54,71,8,5,9,0
0,15.483333,56,61,9,6,9,0
1,15.516667,58,69,7,3,9,0.01
0,15.55,60,74,8,3,9,0
1,15.583333,60,85,12,4,9,0.09
0,15.616667,59,92,13,7,9,0.2
3,15.65,58,88,14,7,9,0.02
0,15.666667,56,74,9,5,9,0
1,15.7,56,62,15,6,9,0
1,15.733333,60,61,9,7,9,0
1,15.75,57,72,10,6,9,0
3,15.783333,58,67,8,4,9,0
1,15.8,58,85,10,7,30,0.04
4,15.816667,60,83,20,11,20,0.07
0,15.85,54,70,17,8,25,0.01
1,15.866667,48,75,20,7,9,0.28
1,15.883333,50,80,10,6,9,0.01
0,15.9,60,67,12,6,9,0
0,15.916667,58,74,12,8,9,0
2,15.916667,62,74,10,4,9,0
7,15.933333,68,62,13,8,16,0
3,15.95,76,51,15,9,9,0
4,15.966667,60,80,12,8,9,0
0,15.966667,58,73,9,6,21,0
0,15.966667,58,76,14,7,9,0
0,15.983333,58,90,12,6,21,0.25
2,15.983333,58,81,16,11,9,0.12
0,15.983333,58,72,10,7,9,0
2,15.983333,62,65,14,10,9,0
1,15.983333,68,54,14,7,9,0
